Crash ID,Contributing Factors,Crash Date,Crash Month,Crash Total Injury Count,Day of Week,Hour of Day,Intersecting Street Name,Latitude,Longitude,Number of Lanes,Road Class,Roadway Type,Speed Limit,Street Name,Surface Condition,Weather Condition,Charge,Citation,Person Age,Person Gender
18674836,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,1/1/2022,1,1,SATURDAY,09:00 - 09:59,S BONNIE BRAE ST,33.21181419,-97.16143245,No Data,CITY STREET,No Data,30,LOUISE ST,2 - WET,2 - CLOUDY,NO CHARGES,No Data,27,1 - MALE
18674836,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,1/1/2022,1,1,SATURDAY,09:00 - 09:59,S BONNIE BRAE ST,33.21181419,-97.16143245,No Data,CITY STREET,No Data,30,LOUISE ST,2 - WET,2 - CLOUDY,NO CHARGES,No Data,21,2 - FEMALE
18674878,OTHER (EXPLAIN IN NARRATIVE),1/1/2022,1,1,SATURDAY,13:00 - 13:59,N/A,33.23334583,-97.12858106,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,1 - MALE
18674878,OTHER (EXPLAIN IN NARRATIVE),1/1/2022,1,1,SATURDAY,13:00 - 13:59,N/A,33.23334583,-97.12858106,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,45,2 - FEMALE
18674878,OTHER (EXPLAIN IN NARRATIVE),1/1/2022,1,1,SATURDAY,13:00 - 13:59,N/A,33.23334583,-97.12858106,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,54,2 - FEMALE
18674878,OTHER (EXPLAIN IN NARRATIVE),1/1/2022,1,1,SATURDAY,13:00 - 13:59,N/A,33.23334583,-97.12858106,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,6,2 - FEMALE
18675752,DISREGARD TURN MARKS AT INTERSECTION,1/1/2022,1,0,SATURDAY,17:00 - 17:59,US0380,33.22997284,-97.17398834,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE
18675752,DISREGARD TURN MARKS AT INTERSECTION,1/1/2022,1,0,SATURDAY,17:00 - 17:59,US0380,33.22997284,-97.17398834,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE
18675752,DISREGARD TURN MARKS AT INTERSECTION,1/1/2022,1,0,SATURDAY,17:00 - 17:59,US0380,33.22997284,-97.17398834,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,47,1 - MALE
18675753,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,1/1/2022,1,0,SATURDAY,14:00 - 14:59,MINGO RD,33.23864418,-97.08256247,No Data,CITY STREET,No Data,30,COOPER CREEK RD,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,62,2 - FEMALE
18675753,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,1/1/2022,1,0,SATURDAY,14:00 - 14:59,MINGO RD,33.23864418,-97.08256247,No Data,CITY STREET,No Data,30,COOPER CREEK RD,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,No Data,99 - UNKNOWN
18676494,FAILED TO CONTROL SPEED,1/1/2022,1,0,SATURDAY,02:00 - 02:59,NOT REPORTED,33.22417925,-97.17205434,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,2 - WET,3 - RAIN,NO CHARGES,No Data,41,1 - MALE
18676494,FAILED TO CONTROL SPEED,1/1/2022,1,0,SATURDAY,02:00 - 02:59,NOT REPORTED,33.22417925,-97.17205434,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,2 - WET,3 - RAIN,NO CHARGES,No Data,40,2 - FEMALE
18676494,FAILED TO CONTROL SPEED,1/1/2022,1,0,SATURDAY,02:00 - 02:59,NOT REPORTED,33.22417925,-97.17205434,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,2 - WET,3 - RAIN,NO CHARGES,No Data,31,2 - FEMALE
18677170,OTHER (EXPLAIN IN NARRATIVE),1/1/2022,1,0,SATURDAY,16:00 - 16:59,N/A,33.24795418,-97.10855246,No Data,CITY STREET,No Data,30,NOTTINGHAM DR,99 - UNKNOWN,99 - UNKNOWN,NO CHARGES,No Data,No Data,99 - UNKNOWN
18677174,FAILED TO DRIVE IN SINGLE LANE,1/1/2022,1,0,SATURDAY,03:00 - 03:59,N/A,33.24801045,-97.108665,No Data,CITY STREET,No Data,30,NOTTINGHAM DR,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN
18679028,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,1/1/2022,1,2,SATURDAY,13:00 - 13:59,N/A,33.29100269,-97.0815989,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,44,2 - FEMALE
18679028,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,1/1/2022,1,2,SATURDAY,13:00 - 13:59,N/A,33.29100269,-97.0815989,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,47,1 - MALE
18679028,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,1/1/2022,1,2,SATURDAY,13:00 - 13:59,N/A,33.29100269,-97.0815989,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,49,1 - MALE
18679028,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,1/1/2022,1,2,SATURDAY,13:00 - 13:59,N/A,33.29100269,-97.0815989,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,48,2 - FEMALE
18679028,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,1/1/2022,1,2,SATURDAY,13:00 - 13:59,N/A,33.29100269,-97.0815989,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,18,2 - FEMALE
18679028,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,1/1/2022,1,2,SATURDAY,13:00 - 13:59,N/A,33.29100269,-97.0815989,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,20,2 - FEMALE
18684185,DRIVER INATTENTION,1/1/2022,1,0,SATURDAY,00:00 - 00:59,NOT REPORTED,33.19448664,-97.12834426,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,2 - WET,3 - RAIN,NO CHARGES,No Data,No Data,99 - UNKNOWN
18684185,DRIVER INATTENTION,1/1/2022,1,0,SATURDAY,00:00 - 00:59,NOT REPORTED,33.19448664,-97.12834426,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,2 - WET,3 - RAIN,NO CHARGES,No Data,20,1 - MALE
18691670,UNDER INFLUENCE - ALCOHOL,1/1/2022,1,0,SATURDAY,03:00 - 03:59,N/A,No Data,No Data,No Data,NON TRAFFICWAY,No Data,-1,IH0035,2 - WET,1 - CLEAR,DWI,22000195,41,1 - MALE
18675486,DRIVER INATTENTION; FAILED TO CONTROL SPEED,1/2/2022,1,0,SUNDAY,04:00 - 04:59,N/A,33.19206772,-97.11699547,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",45,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE
18675486,DRIVER INATTENTION; FAILED TO CONTROL SPEED,1/2/2022,1,0,SUNDAY,04:00 - 04:59,N/A,33.19206772,-97.11699547,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",45,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,2 - FEMALE
18675923,FAILED TO CONTROL SPEED;FAILED TO YIELD RIGHT OF WAY - YIELD SIGN,1/2/2022,1,0,SUNDAY,13:00 - 13:59,US0380,33.22731503,-97.17310126,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,52,1 - MALE
