,road_segment_id,road_segment_length,ST_NAME,speed_category,funclass_name,geometry,direction,ST_TYPE,ST_PRE,From,To,To_2,To_3,To_4
0,17621193,0.022369356,Windbrook,30,Local,"MULTILINESTRING ((2387648.457080024 7140186.848571811, 2387677.50505759 7140303.663074284))",N,Ct,,Windbrook,,,,
1,17621196,0.069593552,Windbrook,30,Local,"MULTILINESTRING ((2387994.536326035 7140140.42717965, 2387982.5944021647 7140118.439553814, 2387958.2353058266 7140110.844153591, 2387648.457080024 7140186.848571811))",W,St,,Windbrook,Shadow,,,
2,17621200,0.105011699,Aspen,30,Local,"MULTILINESTRING ((2388348.2522004023 7139977.673991508, 2388662.1009709043 7140058.189568125, 2388735.2254761662 7140077.339442722, 2388808.4451283724 7140089.213519138, 2388890.9302853714 7140093.931846719))",E,Dr,,Sagebrush,Huisache,,,
3,17621204,0.093827021,Hardaway,30,Local,"MULTILINESTRING ((2379298.1474690125 7139540.430289792, 2379300.133907027 7139624.143290818, 2379280.6296137217 7139714.858567286, 2379288.7615133007 7140035.158641999))",N,Rd,,Riney,,,,
4,17621206,0.059030245,Donna,30,Local,"MULTILINESTRING ((2383294.3974523894 7139515.389419672, 2383296.469841345 7139828.33551072))",N,Rd,,Del,,,,
5,17621207,0.134837507,Del,30,Local,"MULTILINESTRING ((2382582.157266493 7139506.197550524, 2382624.812075329 7139517.663376965, 2383294.3974523894 7139515.389419672))",E,Dr,,Donna,Riney,Del,,
6,17621208,0.19883872,Darby,30,Local,"MULTILINESTRING ((2374796.733407191 7139381.282334639, 2374795.6582631106 7140432.819862448))",N,Ln,,Candy,Barrow,,,
7,17621209,0.039146373,Candy,30,Local,"MULTILINESTRING ((2374588.8684717915 7139378.653100957, 2374796.733407191 7139381.282334639))",E,Ln,,Darby,,,,
8,17621212,0.027340324,Riney,30,Local,"MULTILINESTRING ((2382654.1063757204 7139379.774540654, 2382582.157266493 7139506.197550524))",NW,Rd,,Del,,,,
9,17621214,0.150371782,Brooke,30,Local,"MULTILINESTRING ((2385316.3865614096 7139195.903540473, 2385320.328153877 7139363.33024603, 2385340.828800932 7139432.7297276985, 2385382.396544633 7139527.872901911, 2385387.7545444714 7139586.160050693, 2385388.767489954 7139979.142003994))",N,St,,Gardenview,Robbie O,,,
10,17621215,0.1242742,Gardenview,30,Local,"MULTILINESTRING ((2385316.3865614096 7139195.903540473, 2384658.9269668874 7139205.569762049))",W,St,,Brooke,Joyce,,,
11,17621219,0.0621371,Gardenview,30,Local,"MULTILINESTRING ((2385646.574115084 7139196.552309105, 2385316.3865614096 7139195.903540473))",W,St,,Evers,Brooke,,,
12,17621220,0.085127827,Bell,30,Local,"MULTILINESTRING ((2388130.878121524 7139065.181874875, 2388065.6857666876 7139140.740716853, 2387972.7444387455 7139234.130227942, 2387876.8418241474 7139320.204128728, 2387802.8125758297 7139370.177880759))",NW,Ave,N,Bell,,,,
13,17621221,0.049088309,Joyce,30,Local,"MULTILINESTRING ((2384653.1507549724 7138943.515895898, 2384658.9269668874 7139205.569762049))",N,Ln,,Gabe,Gardenview,,,
14,17621222,0.076428633,Gabe,30,Local,"MULTILINESTRING ((2385059.8099857084 7138941.511069858, 2384653.1507549724 7138943.515895898))",W,Ct,,Joyce,,,,
15,17621223,0.111225409,Donna,30,Local,"MULTILINESTRING ((2383262.223510898 7138929.159943928, 2383273.5582679445 7138998.439647368, 2383284.9399612043 7139064.081369194, 2383294.3974523894 7139515.389419672))",N,Rd,,Del,,,,
16,17621225,0.08699194,Foxwood,30,Local,"MULTILINESTRING ((2387764.6068468313 7138783.864145857, 2388130.878121524 7139065.181874875))",NE,Cir,,,,,,
17,17621226,0.11806049,Hollycreek,30,Local,"MULTILINESTRING ((2387764.6068468313 7138783.864145857, 2387727.0217746575 7138852.506897375, 2387707.8731248784 7138914.113151951, 2387704.6913152966 7139157.857932447, 2387715.968927279 7139230.777192523, 2387730.7782564824 7139267.356542764, 2387802.8125758297 7139370.177880759))",N,Unknown,,Bell,,,,
18,17621228,0.039767744,Fallmeadow,30,Local,"MULTILINESTRING ((2384047.9387315605 7138695.53147739, 2384026.493342012 7138698.892581136, 2383903.417259032 7138759.156443328, 2383866.593339025 7138769.595921739, 2383851.308862046 7138769.398233133))",W,Ct,,Fallmeadow,,,,
19,17621229,0.096312505,Evers,30,Local,"MULTILINESTRING ((2385720.2528571165 7138702.660047048, 2385660.423189274 7138836.510935326, 2385644.288137209 7138901.796114569, 2385640.2388868784 7138978.154085631, 2385646.574115084 7139196.552309105))",N,Pkwy,,Gardenview,,,,
20,17621230,0.096312505,Brooke,30,Local,"MULTILINESTRING ((2385417.383414769 7138716.919620888, 2385333.1943810196 7138843.177671313, 2385310.9934529457 7138904.745677829, 2385303.935337816 7138977.426030551, 2385316.3865614096 7139195.903540473))",N,St,,Benjiman,Gardenview,,,
21,17621231,0.050331051,Joyce,30,Local,"MULTILINESTRING ((2384647.421535582 7138677.824086304, 2384653.1507549724 7138943.515895898))",N,Ln,,Benjiman,Gabe,,,
22,17621232,0.146643556,Benjiman,30,Local,"MULTILINESTRING ((2384647.421535582 7138677.824086304, 2385265.057729166 7138674.9178493265, 2385350.5093838084 7138686.942720956, 2385417.383414769 7138716.919620888))",E,St,,Brooke,Joyce,,,
23,17621233,0.035418147,Foxwood,30,Local,"MULTILINESTRING ((2387622.4996515675 7138661.935339929, 2387764.6068468313 7138783.864145857))",NE,Cir,,,,,,
24,17621234,0.047845567,Casie,30,Local,"MULTILINESTRING ((2385486.1468252544 7138601.37728664, 2385720.2528571165 7138702.660047048))",NE,Ct,,,,,,
25,17621235,0.02485484,Brooke,30,Local,"MULTILINESTRING ((2385486.1468252544 7138601.37728664, 2385417.383414769 7138716.919620888))",NW,St,,Benjiman,,,,
26,17621238,0.165906057,Darby,30,Local,"MULTILINESTRING ((2374801.71230777 7138504.446803079, 2374796.733407191 7139381.282334639))",N,Ln,,Fladger,Candy,,,
27,17621239,0.038525002,Fladger,30,Local,"MULTILINESTRING ((2374596.898617601 7138501.856193116, 2374801.71230777 7138504.446803079))",E,Dr,,Darby,,,,
28,17621240,0.365366148,Westgate,30,Local,"MULTILINESTRING ((2375235.8410759005 7138506.303668341, 2375241.941835351 7140438.469512438))",N,Dr,,Fladger,Barrow,,,
29,17621241,0.082020972,Fladger,30,Local,"MULTILINESTRING ((2375235.8410759005 7138506.303668341, 2374801.71230777 7138504.446803079))",W,Dr,,Westgate,Darby,,,
30,17621242,0.047845567,Evers,30,Local,"MULTILINESTRING ((2385766.2637795936 7138455.833190923, 2385768.7062021876 7138503.166695837, 2385752.050834931 7138608.469628927, 2385720.2528571165 7138702.660047048))",N,Pkwy,,Windsor,,,,
31,17621245,0.452358088,I-35,45,Highways,"MULTILINESTRING ((2373068.5293840286 7138475.288525708, 2373021.1686645756 7139322.4811740955, 2372951.8036564495 7140460.483835563, 2372945.3562241313 7140729.657859317, 2372940.6499988846 7140860.587631188))",N,Unknown,N,Westgate,,,,
32,17621252,0.146643556,Bell,30,Local,"MULTILINESTRING ((2388357.4757306096 7138336.784658622, 2388356.5244826437 7138409.544246086, 2388336.090250376 7138569.375561125, 2388322.91141372 7138641.9753064765, 2388294.020126749 7138747.117079293, 2388256.0059092585 7138848.501034106, 2388224.5811624504 7138913.585138127, 2388171.4256150946 7139003.855497559, 2388130.878121524 7139065.181874875))",N,Ave,N,Windsor,,,,
33,17621254,0.054059277,Cedar Hill,30,Local,"MULTILINESTRING ((2388060.905335157 7138336.547311932, 2388056.945357783 7138405.62899096, 2388020.515172497 7138619.830528732))",N,Ct,,Windsor,,,,
34,17621257,0.082020972,Casie,30,Local,"MULTILINESTRING ((2385236.90800517 7138252.475304834, 2385281.3457532167 7138362.209886528, 2385332.2275754805 7138446.558003358, 2385395.4312525694 7138523.78897019, 2385486.1468252544 7138601.37728664))",NE,Ct,,Beth,,,,
35,17621259,0.078914117,Windsor,40,Arterial,"MULTILINESTRING ((2385470.08601726 7138190.007279631, 2385508.692622658 7138277.834888812, 2385553.7435928425 7138340.276061594, 2385623.2970807008 7138399.3969523, 2385677.943758984 7138429.215569402, 2385766.2637795936 7138455.833190923))",NE,Dr,W,Beth,Windsor,,,
36,17621260,0.045360083,Beth,30,Local,"MULTILINESTRING ((2385470.08601726 7138190.007279631, 2385236.90800517 7138252.475304834))",W,St,,Windsor,Casie,,,
37,17621265,0.114953635,Joyce,30,Local,"MULTILINESTRING ((2384633.895630686 7138070.003313121, 2384645.652062169 7138106.541604704, 2384647.421535582 7138677.824086304))",N,Ln,,Benjiman,,,,
38,17621267,0.115575006,Casie,30,Local,"MULTILINESTRING ((2384957.4618097297 7138110.58360424, 2384964.0003248556 7138077.921034578, 2384982.672350276 7138052.69301084, 2385143.09758369 7137941.977442804, 2385158.429653942 7137938.537762997, 2385173.6673251675 7137942.374056929, 2385191.6787469303 7137968.077921942, 2385213.4437753344 7138175.760304204, 2385236.90800517 7138252.475304834))",NE,Ct,,Beth,,,,
39,17621275,0.054680648,Bell,30,Local,"MULTILINESTRING ((2388361.4318517772 7137332.582777196, 2388357.6269450756 7137623.620971244))",N,Ave,N,Chisholm,Driftwood,,,
40,17621277,0.254140739,470,35,Highways,"MULTILINESTRING ((2373057.92752511 7137132.519639588, 2373071.732677503 7137492.912674356, 2373058.469293587 7138060.363768953, 2373068.5293840286 7138475.288525708))",N,Unknown,,,,,,
41,17621281,0.059030245,Hinkle,30,Local,"MULTILINESTRING ((2382958.0015193988 7137153.237598373, 2382960.0779375937 7137466.183226164))",N,Dr,,Northridge,Windsor,,,
42,17621283,0.0621371,Mesquite,30,Local,"MULTILINESTRING ((2384061.9726450113 7137138.394852016, 2384060.745921886 7137469.490907689))",N,St,,Northridge,Windsor,,,
43,17621284,0.208780656,Northridge,30,Local,"MULTILINESTRING ((2384061.9726450113 7137138.394852016, 2382958.0015193988 7137153.237598373))",W,St,,Mesquite,Hinkle,,,
44,17621285,0.222450818,Northridge,30,Local,"MULTILINESTRING ((2385239.314528666 7137124.542030255, 2384061.9726450113 7137138.394852016))",W,St,,Mesquite,Carroll,,,
45,17621288,0.060272987,Cordova,30,Local,"MULTILINESTRING ((2388683.313756562 7137034.788813559, 2388362.1796979327 7137041.504667536))",W,Cir,,Moncayo,Bell,,,
46,17621289,0.054680648,Bell,30,Local,"MULTILINESTRING ((2388362.1796979327 7137041.504667536, 2388361.4318517772 7137332.582777196))",N,Ave,N,Cordova,Chisholm,,,
47,17621293,0.05592339,Bauer,30,Local,"MULTILINESTRING ((2375707.6723493566 7136740.2938647475, 2375426.2819004585 7136747.642995258, 2375413.9613609007 7136754.764047681))",W,Dr,,Crestmeadow,Wendell,,,
48,17621294,0.135458878,Bauer,30,Local,"MULTILINESTRING ((2376423.215803234 7136734.820120064, 2375707.6723493566 7136740.2938647475))",W,Dr,,Crestmeadow,Stephen,,,
49,17621295,0.065243955,Hinkle,30,Local,"MULTILINESTRING ((2382959.404598797 7136807.589623957, 2382958.0015193988 7137153.237598373))",N,Dr,,Magnolia,Northridge,,,
50,17621296,0.058408874,Mesquite,30,Local,"MULTILINESTRING ((2384084.3164224625 7136829.40366342, 2384082.056766893 7137004.026829702, 2384061.9726450113 7137138.394852016))",N,St,,Magnolia,Northridge,,,
51,17621297,0.213130253,Magnolia,30,Local,"MULTILINESTRING ((2382959.404598797 7136807.589623957, 2383378.3188101496 7136805.721324731, 2383469.9372651377 7136814.182181402, 2383616.395034761 7136837.906448571, 2384084.3164224625 7136829.40366342))",E,St,,Mesquite,Hinkle,,,
52,17621300,0.059030245,Carroll,30,Local,"MULTILINESTRING ((2385240.317283756 7136811.635994078, 2385239.314528666 7137124.542030255))",N,Blvd,N,Magnolia,Northridge,,,
53,17621301,0.218722592,Magnolia,30,Local,"MULTILINESTRING ((2385240.317283756 7136811.635994078, 2384084.3164224625 7136829.40366342))",W,St,,Mesquite,Carroll,,,
54,17621302,0.054059277,Bolivar,30,Local,"MULTILINESTRING ((2386017.099699733 7136799.893483941, 2386020.092348672 7137040.079633368, 2386028.6486709337 7137087.492605456))",N,St,,Magnolia,Northridge,,,
55,17621303,0.146643556,Magnolia,30,Local,"MULTILINESTRING ((2386017.099699733 7136799.893483941, 2385240.317283756 7136811.635994078))",W,St,,Bolivar,Carroll,,,
56,17621307,0.029825808,Crestmeadow,30,Local,"MULTILINESTRING ((2375709.7019504835 7136580.222108512, 2375707.6723493566 7136740.2938647475))",N,St,,Windsor,Bauer,,,
57,17621310,0.027961695,Bolivar,30,Local,"MULTILINESTRING ((2386015.9816981093 7136650.696588637, 2386017.099699733 7136799.893483941))",N,St,,Orr,Magnolia,,,
58,17621313,0.007456452,Westgate,40,Arterial,"MULTILINESTRING ((2375239.3686625836 7136537.876262132, 2375238.86184896 7136577.894206312))",N,Dr,,Windsor,,,,
59,17621314,0.062758471,Windsor,40,Arterial,"MULTILINESTRING ((2375239.3686625836 7136537.876262132, 2374906.005779457 7136544.571799044))",W,Dr,W,Carriage Hill,Westgate,,,
60,17621315,0.007456452,Crestmeadow,30,Local,"MULTILINESTRING ((2375710.2093507345 7136540.204171859, 2375709.7019504835 7136580.222108512))",N,St,,Windsor,,,,
61,17621316,0.088856053,Windsor,40,Arterial,"MULTILINESTRING ((2375710.2093507345 7136540.204171859, 2375239.3686625836 7136537.876262132))",W,Dr,W,Crestmeadow,Westgate,,,
62,17621320,0.037903631,Bonnie Brae,40,Arterial,"MULTILINESTRING ((2377939.210847099 7136539.43510256, 2377939.7170495763 7136739.56358955))",N,St,N,Windsor,,,,
63,17621322,0.085127827,Bell,30,Local,"MULTILINESTRING ((2388361.963052384 7136590.315712287, 2388362.1796979327 7137041.504667536))",N,Ave,N,Coronado,Cordova,,,
64,17621323,0.083885085,Moncayo,30,Local,"MULTILINESTRING ((2388679.94932243 7136590.835812339, 2388683.313756562 7137034.788813559))",N,Dr,,Coronado,Cordova,,,
65,17621324,0.059651616,Coronado,30,Local,"MULTILINESTRING ((2388679.94932243 7136590.835812339, 2388361.963052384 7136590.315712287))",W,Dr,,Bell,Moncayo,,,
66,17621326,0.071457665,Bowling Green,30,Local,"MULTILINESTRING ((2380502.465870389 7136463.0580677865, 2380703.0681286333 7136556.596773574, 2380745.8209151775 7136560.784111323, 2380859.0272422675 7136554.96026841))",E,St,,Lake,Georgetown,,,
67,17621327,0.060894358,Mesquite,30,Local,"MULTILINESTRING ((2384082.3919780795 7136505.5441391235, 2384084.3164224625 7136829.40366342))",N,St,,Mimosa,Magnolia,,,
68,17621330,0.029825808,Crestmeadow,30,Local,"MULTILINESTRING ((2375706.1247059344 7136380.054910929, 2375710.2093507345 7136540.204171859))",N,St,,Windsor,,,,
69,17621331,0.05592339,Parkside,30,Local,"MULTILINESTRING ((2380240.673335185 7136372.37468278, 2380240.3002139363 7136401.478580376, 2380227.325510333 7136459.5296066385, 2380121.0522385985 7136640.096632089))",NW,Dr,,Bowling Green,Windsor,,,
70,17621332,0.036660889,Carriage Hill,30,Local,"MULTILINESTRING ((2374905.4346092497 7136348.081374335, 2374906.005779457 7136544.571799044))",N,Rd,,Windsor,,,,
71,17621334,0.053437906,Bowling Green,30,Local,"MULTILINESTRING ((2380240.673335185 7136372.37468278, 2380335.4441642454 7136373.5898148855, 2380502.465870389 7136463.0580677865))",E,St,,Lake,Parkside,,,
72,17621335,0.07456452,Carroll,30,Local,"MULTILINESTRING ((2385233.234374018 7136414.937471443, 2385240.317283756 7136811.635994078))",N,Blvd,N,Mimosa,Magnolia,,,
73,17621336,0.219965334,Mimosa,30,Local,"MULTILINESTRING ((2385233.234374018 7136414.937471443, 2385083.246758036 7136427.545982698, 2385027.982715305 7136445.022154056, 2384945.0160061247 7136476.693560336, 2384850.009669424 7136493.654728733, 2384082.3919780795 7136505.5441391235))",W,Dr,,Mesquite,Carroll,,,
74,17621337,0.046602825,Bolivar,30,Local,"MULTILINESTRING ((2386013.083493667 7136403.234537868, 2386015.9816981093 7136650.696588637))",N,St,,Mimosa,Orr,,,
75,17621338,0.147264927,Mimosa,30,Local,"MULTILINESTRING ((2386013.083493667 7136403.234537868, 2385233.234374018 7136414.937471443))",W,Dr,,Bolivar,Carroll,,,
76,17621339,0.055302019,Locust,40,Arterial,"MULTILINESTRING ((2386753.9015103886 7136336.463282997, 2386759.2352079237 7136631.258916413))",N,St,,Coronado,Orr,,,
77,17621346,0.179576219,Hampton,30,Local,"MULTILINESTRING ((2370798.7503409004 7136129.002938577, 2369847.8411396965 7136128.021418682))",W,Rd,,Marshall,Cindy,,,
78,17621349,0.061515729,Mesquite,30,Local,"MULTILINESTRING ((2384077.457342266 7136178.007137501, 2384082.3919780795 7136505.5441391235))",N,St,,Headlee,Mimosa,,,
79,17621350,0.211887511,Headlee,30,Local,"MULTILINESTRING ((2384077.457342266 7136178.007137501, 2382958.355299242 7136178.100141087))",W,St,,Mesquite,Hinkle,,,
80,17621351,0.045360083,Carroll,30,Local,"MULTILINESTRING ((2385233.2928048475 7136174.791151523, 2385233.234374018 7136414.937471443))",N,Blvd,N,Headlee,Mimosa,,,
81,17621354,0.045360083,Bolivar,30,Local,"MULTILINESTRING ((2386010.0906080175 7136163.048479911, 2386013.083493667 7136403.234537868))",N,St,,Headlee,Mimosa,,,
82,17621355,0.0621371,Headlee,30,Local,"MULTILINESTRING ((2386010.0906080175 7136163.048479911, 2385679.8245760696 7136166.033945812))",W,St,,Bolivar,Denison,,,
83,17621358,0.064001213,Vanderbilt,30,Local,"MULTILINESTRING ((2381154.154546551 7135954.745652487, 2381162.0359721407 7136293.235405275))",N,Ct,,Vanderbilt,,,,
84,17621360,0.059030245,Vanderbilt,30,Local,"MULTILINESTRING ((2381466.125521672 7135947.839798763, 2381154.154546551 7135954.745652487))",W,St,,Bowling Green,Vanderbilt,,,
85,17621361,0.060894358,Carroll,30,Local,"MULTILINESTRING ((2385234.436903386 7135850.971355721, 2385233.2928048475 7136174.791151523))",N,Blvd,N,Oakhill,Headlee,,,
86,17621362,0.123652829,Oakhill,30,Local,"MULTILINESTRING ((2385234.436903386 7135850.971355721, 2384965.2641230454 7135858.39557819, 2384708.6502011823 7135840.514672839, 2384580.1074887915 7135849.764886907))",W,Dr,,Carroll,,,,
87,17621363,0.114332264,Crestmeadow,30,Local,"MULTILINESTRING ((2375695.438637769 7135775.91547065, 2375706.1247059344 7136380.054910929))",N,St,,Brookhollow St,,,,
88,17621364,0.046602825,Brookhollow St,30,Local,"MULTILINESTRING ((2375447.8992100307 7135765.500827514, 2375695.438637769 7135775.91547065))",E,St,,Westview,Crestmeadow,,,
89,17621365,0.162799202,Westview,30,Local,"MULTILINESTRING ((2375447.8992100307 7135765.500827514, 2375446.591930935 7136351.295261776, 2375455.532816662 7136369.601444854, 2375476.794381573 7136380.786599168, 2375706.1247059344 7136380.054910929))",NE,Trl,,Brookhollow St,,,,
90,17621366,0.11806049,Carriage Hill,30,Local,"MULTILINESTRING ((2374901.1240351023 7135722.191616065, 2374897.395243121 7136016.8691248065, 2374905.4346092497 7136348.081374335))",N,Rd,,Brookhollow,,,,
91,17621367,0.050331051,Brookhollow,30,Local,"MULTILINESTRING ((2374901.1240351023 7135722.191616065, 2374680.8686433895 7135730.321029939, 2374635.0568769225 7135726.103107684))",W,Dr,,Carriage Hill,Brookhollow,Arrowhead,,
92,17621368,0.123031458,Arrowhead,30,Local,"MULTILINESTRING ((2374635.0568769225 7135726.103107684, 2374593.243477704 7135889.310297203, 2374586.485150505 7135940.164909186, 2374591.955482152 7135991.174144199, 2374600.2989458363 7136056.774016996, 2374601.0560378497 7136238.712421999, 2374602.77912826 7136344.252941687, 2374593.2857456715 7136369.602941123))",N,Dr,,Brookhollow,Englefield Green,,,
93,17621369,0.16777017,Brooklake St,30,Local,"MULTILINESTRING ((2375176.2707121586 7135725.674447481, 2375190.3001178023 7136308.024444802, 2375174.6459385254 7136336.9348417325, 2375150.0507321004 7136347.539146273, 2374905.4346092497 7136348.081374335))",NW,St,,Brookhollow,,,,
94,17621370,0.051573793,Brookhollow,30,Local,"MULTILINESTRING ((2374901.1240351023 7135722.191616065, 2375176.2707121586 7135725.674447481))",E,Dr,,Brooklake St,Carriage Hill,,,
95,17621371,0.045360083,College Park,30,Local,"MULTILINESTRING ((2387308.7175405817 7135761.518374425, 2387329.548506632 7135805.453148061, 2387369.0545810293 7135824.161334356, 2387414.8173132804 7135832.035395336, 2387515.846476414 7135822.437543027))",E,Dr,,College Park,Fowler,,,
96,17621372,0.059030245,Vanderbilt,30,Local,"MULTILINESTRING ((2381142.888478054 7135641.682579736, 2381154.154546551 7135954.745652487))",N,Ct,,Vanderbilt,,,,
