,Crash ID,Crash Total Injury Count,Fatal Crash Flag,Person Injury Severity,Person Not Injured Count,Person Total Injury Count,Contributing Factors,Crash Date,Crash Month,Crash Total Injury Count.1,Day of Week,Hour of Day,Intersecting Street Name,Number of Lanes,Road Class,Roadway Type,Speed Limit,ST_NAME,Surface Condition,Weather Condition,Charge,Citation,Person Age,Person Gender,geometry
0,18674836,1,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44562,1,1,SATURDAY,09:00 - 09:59,S BONNIE BRAE ST,No Data,CITY STREET,No Data,30,LOUISE ST,2 - WET,2 - CLOUDY,NO CHARGES,No Data,27,1 - MALE,POINT (2377865.6375627755 7126417.516939151)
1,18674836,1,0,C - POSSIBLE INJURY,0,1,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44562,1,1,SATURDAY,09:00 - 09:59,S BONNIE BRAE ST,No Data,CITY STREET,No Data,30,LOUISE ST,2 - WET,2 - CLOUDY,NO CHARGES,No Data,21,2 - FEMALE,POINT (2377865.6375627755 7126417.516939151)
2,18674878,1,0,C - POSSIBLE INJURY,0,1,OTHER (EXPLAIN IN NARRATIVE),44562,1,1,SATURDAY,13:00 - 13:59,,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,1 - MALE,POINT (2387809.543313378 7134380.231841262)
3,18674878,1,0,N - NOT INJURED,1,0,OTHER (EXPLAIN IN NARRATIVE),44562,1,1,SATURDAY,13:00 - 13:59,,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,45,2 - FEMALE,POINT (2387809.543313378 7134380.231841262)
4,18674878,1,0,N - NOT INJURED,1,0,OTHER (EXPLAIN IN NARRATIVE),44562,1,1,SATURDAY,13:00 - 13:59,,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,54,2 - FEMALE,POINT (2387809.543313378 7134380.231841262)
5,18674878,1,0,N - NOT INJURED,1,0,OTHER (EXPLAIN IN NARRATIVE),44562,1,1,SATURDAY,13:00 - 13:59,,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",35,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,6,2 - FEMALE,POINT (2387809.543313378 7134380.231841262)
6,18675752,0,0,N - NOT INJURED,1,0,DISREGARD TURN MARKS AT INTERSECTION,44562,1,0,SATURDAY,17:00 - 17:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE,POINT (2373942.566312814 7132974.903906214)
8,18675752,0,0,N - NOT INJURED,1,0,DISREGARD TURN MARKS AT INTERSECTION,44562,1,0,SATURDAY,17:00 - 17:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",50,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,47,1 - MALE,POINT (2373942.566312814 7132974.903906214)
9,18675753,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44562,1,0,SATURDAY,14:00 - 14:59,MINGO RD,No Data,CITY STREET,No Data,30,COOPER CREEK RD,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,62,2 - FEMALE,POINT (2401852.8183870763 7136494.505485112)
10,18675753,0,0,99 - UNKNOWN,0,0,FAILED TO YIELD RIGHT OF WAY - STOP SIGN,44562,1,0,SATURDAY,14:00 - 14:59,MINGO RD,No Data,CITY STREET,No Data,30,COOPER CREEK RD,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2401852.8183870763 7136494.505485112)
11,18676494,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44562,1,0,SATURDAY,02:00 - 02:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,2 - WET,3 - RAIN,NO CHARGES,No Data,41,1 - MALE,POINT (2374560.5205416786 7130874.67344795)
12,18676494,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44562,1,0,SATURDAY,02:00 - 02:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,2 - WET,3 - RAIN,NO CHARGES,No Data,40,2 - FEMALE,POINT (2374560.5205416786 7130874.67344795)
13,18676494,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44562,1,0,SATURDAY,02:00 - 02:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,2 - WET,3 - RAIN,NO CHARGES,No Data,31,2 - FEMALE,POINT (2374560.5205416786 7130874.67344795)
14,18677170,0,0,99 - UNKNOWN,0,0,OTHER (EXPLAIN IN NARRATIVE),44562,1,0,SATURDAY,16:00 - 16:59,,No Data,CITY STREET,No Data,30,NOTTINGHAM DR,99 - UNKNOWN,99 - UNKNOWN,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2393862.511220818 7139775.228592369)
15,18677174,0,0,99 - UNKNOWN,0,0,FAILED TO DRIVE IN SINGLE LANE,44562,1,0,SATURDAY,03:00 - 03:59,,No Data,CITY STREET,No Data,30,NOTTINGHAM DR,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2393827.838864629 7139795.243817354)
16,18679028,2,0,N - NOT INJURED,1,0,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,44562,1,2,SATURDAY,13:00 - 13:59,,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,44,2 - FEMALE,POINT (2401890.198678042 7155546.378791763)
17,18679028,2,0,N - NOT INJURED,1,0,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,44562,1,2,SATURDAY,13:00 - 13:59,,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,47,1 - MALE,POINT (2401890.198678042 7155546.378791763)
18,18679028,2,0,N - NOT INJURED,1,0,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,44562,1,2,SATURDAY,13:00 - 13:59,,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,49,1 - MALE,POINT (2401890.198678042 7155546.378791763)
19,18679028,2,0,C - POSSIBLE INJURY,0,1,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,44562,1,2,SATURDAY,13:00 - 13:59,,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,48,2 - FEMALE,POINT (2401890.198678042 7155546.378791763)
20,18679028,2,0,C - POSSIBLE INJURY,0,1,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,44562,1,2,SATURDAY,13:00 - 13:59,,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,18,2 - FEMALE,POINT (2401890.198678042 7155546.378791763)
21,18679028,2,0,N - NOT INJURED,1,0,ANIMAL ON ROAD - WILD;FAILED TO PASS TO LEFT SAFELY;PASSED IN NO PASSING LANE,44562,1,2,SATURDAY,13:00 - 13:59,,2,FARM TO MARKET,"2 LANE, 2 WAY",60,FM0428,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,20,2 - FEMALE,POINT (2401890.198678042 7155546.378791763)
22,18684185,0,0,99 - UNKNOWN,0,0,DRIVER INATTENTION,44562,1,0,SATURDAY,00:00 - 00:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,2 - WET,3 - RAIN,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2388066.530884389 7120244.372899416)
23,18684185,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION,44562,1,0,SATURDAY,00:00 - 00:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,2 - WET,3 - RAIN,NO CHARGES,No Data,20,1 - MALE,POINT (2388066.530884389 7120244.372899416)
25,18675486,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FAILED TO CONTROL SPEED,44563,1,0,SUNDAY,04:00 - 04:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",45,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,1 - MALE,POINT (2391549.3215166777 7119409.89791657)
