,intersection_geom,ST_NAME_left,ST_NAME_right
0,POINT (2387648.457080024 7140186.848571811),Windbrook,Windbrook
1,POINT (2379288.7615133007 7140035.158641999),Hardaway,Riney
2,POINT (2379288.7615133007 7140035.158641999),Hardaway,Riney
3,POINT (2374795.6582631106 7140432.819862448),Darby,Barrow
4,POINT (2374795.6582631106 7140432.819862448),Darby,Barrow
5,POINT (2382582.157266493 7139506.197550524),Riney,Del
6,POINT (2385388.767489954 7139979.142003994),Brooke,Robbie O
7,POINT (2385316.3865614096 7139195.903540473),Brooke,Gardenview
8,POINT (2387802.8125758297 7139370.177880759),Bell,Bell
9,POINT (2384653.1507549724 7138943.515895898),Joyce,Gabe
10,POINT (2384658.9269668874 7139205.569762049),Joyce,Gardenview
11,POINT (2384658.9269668874 7139205.569762049),Joyce,Gardenview
12,POINT (2383294.3974523894 7139515.389419672),Donna,Del
13,POINT (2387802.8125758297 7139370.177880759),Hollycreek,Bell
14,POINT (2385646.574115084 7139196.552309105),Evers,Gardenview
15,POINT (2385417.383414769 7138716.919620888),Brooke,Benjiman
16,POINT (2385316.3865614096 7139195.903540473),Brooke,Gardenview
17,POINT (2385316.3865614096 7139195.903540473),Brooke,Gardenview
18,POINT (2384647.421535582 7138677.824086304),Joyce,Benjiman
19,POINT (2384653.1507549724 7138943.515895898),Joyce,Gabe
20,POINT (2385417.383414769 7138716.919620888),Brooke,Benjiman
21,POINT (2374801.71230777 7138504.446803079),Darby,Fladger
22,POINT (2374801.71230777 7138504.446803079),Darby,Fladger
23,POINT (2374796.733407191 7139381.282334639),Darby,Candy
24,POINT (2375235.8410759005 7138506.303668341),Westgate,Fladger
25,POINT (2375241.941835351 7140438.469512438),Westgate,Barrow
26,POINT (2385766.2637795936 7138455.833190923),Evers,Windsor
27,POINT (2372940.6499988846 7140860.587631188),I-35,Westgate
28,POINT (2388357.4757306096 7138336.784658622),Bell,Windsor
29,POINT (2388357.4757306096 7138336.784658622),Bell,Windsor
30,POINT (2388060.905335157 7138336.547311932),Cedar Hill,Windsor
31,POINT (2388060.905335157 7138336.547311932),Cedar Hill,Windsor
32,POINT (2385236.90800517 7138252.475304834),Casie,Beth
33,POINT (2385470.08601726 7138190.007279631),Windsor,Beth
34,POINT (2385766.2637795936 7138455.833190923),Windsor,Windsor
35,POINT (2384647.421535582 7138677.824086304),Joyce,Benjiman
36,POINT (2385236.90800517 7138252.475304834),Casie,Beth
37,POINT (2388361.4318517772 7137332.582777196),Bell,Chisholm
38,POINT (2388357.6269450756 7137623.620971244),Bell,Driftwood
39,POINT (2382958.0015193988 7137153.237598373),Hinkle,Northridge
40,POINT (2382960.0779375937 7137466.183226164),Hinkle,Windsor
41,POINT (2382960.0779375937 7137466.183226164),Hinkle,Windsor
42,POINT (2384061.9726450113 7137138.394852016),Mesquite,Northridge
43,POINT (2384061.9726450113 7137138.394852016),Mesquite,Northridge
44,POINT (2384060.745921886 7137469.490907689),Mesquite,Windsor
45,POINT (2384060.745921886 7137469.490907689),Mesquite,Windsor
46,POINT (2388362.1796979327 7137041.504667536),Bell,Cordova
47,POINT (2388361.4318517772 7137332.582777196),Bell,Chisholm
48,POINT (2382959.404598797 7136807.589623957),Hinkle,Magnolia
49,POINT (2382958.0015193988 7137153.237598373),Hinkle,Northridge
50,POINT (2384084.3164224625 7136829.40366342),Mesquite,Magnolia
51,POINT (2384061.9726450113 7137138.394852016),Mesquite,Northridge
52,POINT (2384084.3164224625 7136829.40366342),Mesquite,Magnolia
53,POINT (2384061.9726450113 7137138.394852016),Mesquite,Northridge
54,POINT (2385240.317283756 7136811.635994078),Carroll,Magnolia
55,POINT (2385239.314528666 7137124.542030255),Carroll,Northridge
56,POINT (2385240.317283756 7136811.635994078),Carroll,Magnolia
57,POINT (2385239.314528666 7137124.542030255),Carroll,Northridge
58,POINT (2386017.099699733 7136799.893483941),Bolivar,Magnolia
59,POINT (2386028.6486709337 7137087.492605456),Bolivar,Northridge
60,POINT (2375709.7019504835 7136580.222108512),Crestmeadow,Windsor
61,POINT (2375709.7019504835 7136580.222108512),Crestmeadow,Windsor
62,POINT (2375707.6723493566 7136740.2938647475),Crestmeadow,Bauer
63,POINT (2375707.6723493566 7136740.2938647475),Crestmeadow,Bauer
64,POINT (2386015.9816981093 7136650.696588637),Bolivar,Orr
65,POINT (2386017.099699733 7136799.893483941),Bolivar,Magnolia
66,POINT (2375239.3686625836 7136537.876262132),Westgate,Windsor
67,POINT (2375239.3686625836 7136537.876262132),Westgate,Windsor
68,POINT (2375238.86184896 7136577.894206312),Westgate,Windsor
69,POINT (2375710.2093507345 7136540.204171859),Crestmeadow,Windsor
70,POINT (2375710.2093507345 7136540.204171859),Crestmeadow,Windsor
71,POINT (2375709.7019504835 7136580.222108512),Crestmeadow,Windsor
72,POINT (2375709.7019504835 7136580.222108512),Crestmeadow,Windsor
73,POINT (2377939.210847099 7136539.43510256),Bonnie Brae,Windsor
74,POINT (2377939.210847099 7136539.43510256),Bonnie Brae,Windsor
75,POINT (2377939.210847099 7136539.43510256),Bonnie Brae,Windsor
76,POINT (2388361.963052384 7136590.315712287),Bell,Coronado
77,POINT (2388361.963052384 7136590.315712287),Bell,Coronado
78,POINT (2388362.1796979327 7137041.504667536),Bell,Cordova
79,POINT (2388679.94932243 7136590.835812339),Moncayo,Coronado
80,POINT (2388679.94932243 7136590.835812339),Moncayo,Coronado
81,POINT (2388683.313756562 7137034.788813559),Moncayo,Cordova
82,POINT (2388683.313756562 7137034.788813559),Moncayo,Cordova
83,POINT (2384082.3919780795 7136505.5441391235),Mesquite,Mimosa
84,POINT (2384084.3164224625 7136829.40366342),Mesquite,Magnolia
85,POINT (2384082.3919780795 7136505.5441391235),Mesquite,Mimosa
86,POINT (2384084.3164224625 7136829.40366342),Mesquite,Magnolia
87,POINT (2375710.2093507345 7136540.204171859),Crestmeadow,Windsor
88,POINT (2375710.2093507345 7136540.204171859),Crestmeadow,Windsor
89,POINT (2380240.673335185 7136372.37468278),Parkside,Bowling Green
90,POINT (2380121.0522385985 7136640.096632089),Parkside,Windsor
91,POINT (2374906.005779457 7136544.571799044),Carriage Hill,Windsor
92,POINT (2374906.005779457 7136544.571799044),Carriage Hill,Windsor
93,POINT (2385233.234374018 7136414.937471443),Carroll,Mimosa
94,POINT (2385240.317283756 7136811.635994078),Carroll,Magnolia
95,POINT (2385233.234374018 7136414.937471443),Carroll,Mimosa
96,POINT (2385240.317283756 7136811.635994078),Carroll,Magnolia
97,POINT (2386013.083493667 7136403.234537868),Bolivar,Mimosa
98,POINT (2386015.9816981093 7136650.696588637),Bolivar,Orr
99,POINT (2386753.9015103886 7136336.463282997),Locust,Coronado
100,POINT (2386759.2352079237 7136631.258916413),Locust,Orr
101,POINT (2384077.457342266 7136178.007137501),Mesquite,Headlee
102,POINT (2384077.457342266 7136178.007137501),Mesquite,Headlee
103,POINT (2384082.3919780795 7136505.5441391235),Mesquite,Mimosa
104,POINT (2384082.3919780795 7136505.5441391235),Mesquite,Mimosa
105,POINT (2385233.2928048475 7136174.791151523),Carroll,Headlee
106,POINT (2385233.2928048475 7136174.791151523),Carroll,Headlee
107,POINT (2385233.234374018 7136414.937471443),Carroll,Mimosa
108,POINT (2385233.234374018 7136414.937471443),Carroll,Mimosa
109,POINT (2386010.0906080175 7136163.048479911),Bolivar,Headlee
110,POINT (2386013.083493667 7136403.234537868),Bolivar,Mimosa
111,POINT (2381154.154546551 7135954.745652487),Vanderbilt,Vanderbilt
112,POINT (2385234.436903386 7135850.971355721),Carroll,Oakhill
113,POINT (2385233.2928048475 7136174.791151523),Carroll,Headlee
114,POINT (2385233.2928048475 7136174.791151523),Carroll,Headlee
115,POINT (2375695.438637769 7135775.91547065),Crestmeadow,Brookhollow St
116,POINT (2375447.8992100307 7135765.500827514),Westview,Brookhollow St
117,POINT (2374901.1240351023 7135722.191616065),Carriage Hill,Brookhollow
118,POINT (2374901.1240351023 7135722.191616065),Carriage Hill,Brookhollow
119,POINT (2374635.0568769225 7135726.103107684),Arrowhead,Brookhollow
120,POINT (2374593.2857456715 7136369.602941123),Arrowhead,Englefield Green
121,POINT (2375176.2707121586 7135725.674447481),Brooklake St,Brookhollow
122,POINT (2381154.154546551 7135954.745652487),Vanderbilt,Vanderbilt
123,POINT (2374635.0568769225 7135726.103107684),Brookhollow,Brookhollow
124,POINT (2374163.1934556304 7135803.8268438475),Greenway,Windsor Farms
125,POINT (2375704.7356367568 7135524.971524676),Crestmeadow,Westward
126,POINT (2375695.438637769 7135775.91547065),Crestmeadow,Brookhollow St
127,POINT (2385284.5434136265 7135524.148381669),Carroll,Strata
128,POINT (2385234.436903386 7135850.971355721),Carroll,Oakhill
129,POINT (2374896.3256537006 7135376.46620332),Carriage Hill,Lakewood
130,POINT (2374901.1240351023 7135722.191616065),Carriage Hill,Brookhollow
131,POINT (2374901.1240351023 7135722.191616065),Carriage Hill,Brookhollow
132,POINT (2386863.482002953 7135435.519347572),College Park,Peach
133,POINT (2386863.482002953 7135435.519347572),College Park,Peach
134,POINT (2387308.7175405817 7135761.518374425),College Park,College Park
135,POINT (2380223.1603692137 7135353.346655463),Parkside,Auburn
136,POINT (2380240.673335185 7136372.37468278),Parkside,Bowling Green
137,POINT (2387423.1891344828 7135424.622089023),Fowler,Peach
138,POINT (2387423.1891344828 7135424.622089023),Fowler,Peach
139,POINT (2387308.7175405817 7135761.518374425),Fowler,College Park
140,POINT (2380519.8040880836 7135349.873643757),Lake,Auburn
141,POINT (2380519.8040880836 7135349.873643757),Lake,Auburn
142,POINT (2380502.465870389 7136463.0580677865),Lake,Bowling Green
143,POINT (2380502.465870389 7136463.0580677865),Lake,Bowling Green
144,POINT (2380847.1602402977 7135335.881915424),Georgetown,Auburn
145,POINT (2380847.1602402977 7135335.881915424),Georgetown,Auburn
146,POINT (2380859.0272422675 7136554.96026841),Georgetown,Bowling Green
147,POINT (2380859.0272422675 7136554.96026841),Georgetown,Bowling Green
148,POINT (2381449.760377521 7135318.154133465),Bowling Green,Auburn
149,POINT (2381449.760377521 7135318.154133465),Bowling Green,Auburn
150,POINT (2381466.125521672 7135947.839798763),Bowling Green,Vanderbilt
151,POINT (2374332.5329958387 7135227.43278923),Greenway,Lakewood
152,POINT (2369843.409216335 7135014.564003705),Cindy,Tieszen
153,POINT (2369847.8411396965 7136128.021418682),Cindy,Hampton
154,POINT (2369847.8411396965 7136128.021418682),Cindy,Hampton
155,POINT (2370785.179615649 7135015.430519044),Marshall,Tieszen
156,POINT (2370798.7503409004 7136129.002938577),Marshall,Hampton
157,POINT (2385650.585607955 7135121.3784636),Denison,Fain
158,POINT (2385650.585607955 7135121.3784636),Denison,Fain
159,POINT (2385679.8245760696 7136166.033945812),Denison,Headlee
160,POINT (2385679.8245760696 7136166.033945812),Denison,Headlee
161,POINT (2385996.101294211 7135122.2293796195),Bolivar,Fain
162,POINT (2386010.0906080175 7136163.048479911),Bolivar,Headlee
163,POINT (2374406.021778107 7134977.29985966),Greenway,Thunderbird
164,POINT (2374406.021778107 7134977.29985966),Greenway,Thunderbird
165,POINT (2374332.5329958387 7135227.43278923),Greenway,Lakewood
166,POINT (2374889.1603030018 7134976.132296736),Carriage Hill,Thunderbird
167,POINT (2374889.1603030018 7134976.132296736),Carriage Hill,Thunderbird
168,POINT (2374896.3256537006 7135376.46620332),Carriage Hill,Lakewood
169,POINT (2381456.6532227932 7135019.878854474),Bowling Green,Belhaven
170,POINT (2381449.760377521 7135318.154133465),Bowling Green,Auburn
171,POINT (2381449.760377521 7135318.154133465),Bowling Green,Auburn
172,POINT (2374091.859418456 7134915.113809429),Glen Garden,Thunderbird
173,POINT (2374091.859418456 7134915.113809429),Glen Garden,Thunderbird
174,POINT (2373852.555119404 7135705.301773809),Glen Garden,Windsor Farms
175,POINT (2373852.555119404 7135705.301773809),Glen Garden,Windsor Farms
176,POINT (2375188.955684499 7134965.372749343),Brooklake St,Thunderbird
177,POINT (2375188.955684499 7134965.372749343),Brooklake St,Thunderbird
178,POINT (2375176.2707121586 7135725.674447481),Brooklake St,Brookhollow
179,POINT (2375442.9846131126 7134946.758936372),Westview,Thunderbird
180,POINT (2375442.9846131126 7134946.758936372),Westview,Thunderbird
181,POINT (2375447.8992100307 7135765.500827514),Westview,Brookhollow St
182,POINT (2380848.5868859324 7134986.59623316),Georgetown,Belhaven
183,POINT (2380847.1602402977 7135335.881915424),Georgetown,Auburn
184,POINT (2380847.1602402977 7135335.881915424),Georgetown,Auburn
185,POINT (2372866.3091693087 7134866.913447311),Mesa,Barcelona
186,POINT (2372853.7136906874 7134895.863442584),Mesa,Barcelona
187,POINT (2373771.948584138 7134823.749731738),Colonial,Thunderbird
188,POINT (2373771.948584138 7134823.749731738),Colonial,Thunderbird
189,POINT (2385992.587727272 7134922.061234963),Bolivar,Taliaferro
190,POINT (2385996.101294211 7135122.2293796195),Bolivar,Fain
191,POINT (2387733.4036295908 7134850.133578732),Palmer,Oaklawn
192,POINT (2387738.177110613 7135421.455015617),Palmer,Peach
193,POINT (2387738.177110613 7135421.455015617),Palmer,Peach
194,POINT (2388247.167313995 7134845.9280663105),Bell,Oaklawn
195,POINT (2381770.7253124197 7134612.7586367605),Malone,Greenbriar
196,POINT (2381766.3250939036 7134954.728895996),Malone,Princeton
197,POINT (2382948.1576507636 7134598.821863518),Hinkle,Greenbriar
198,POINT (2382954.1957713123 7135315.701198793),Hinkle,Haggard
199,POINT (2387421.826511428 7134591.366647799),Fowler,Forest
200,POINT (2387421.826511428 7134591.366647799),Fowler,Forest
201,POINT (2387423.1891344828 7135424.622089023),Fowler,Peach
202,POINT (2387423.1891344828 7135424.622089023),Fowler,Peach
203,POINT (2387730.708067569 7134588.119751523),Palmer,Forest
204,POINT (2387733.4036295908 7134850.133578732),Palmer,Oaklawn
205,POINT (2385629.0847037854 7134422.4900606405),Denison,Ross
206,POINT (2385629.0847037854 7134422.4900606405),Denison,Ross
207,POINT (2385650.585607955 7135121.3784636),Denison,Fain
208,POINT (2385650.585607955 7135121.3784636),Denison,Fain
209,POINT (2381741.026899823 7134306.735536302),Malone,Tulane
210,POINT (2381770.7253124197 7134612.7586367605),Malone,Greenbriar
211,POINT (2381408.293437429 7134262.431838053),Bowling Green,Tulane
212,POINT (2381408.293437429 7134262.431838053),Bowling Green,Tulane
213,POINT (2381456.6532227932 7135019.878854474),Bowling Green,Belhaven
214,POINT (2380835.9198424127 7134306.018740404),Georgetown,Tulane
215,POINT (2380848.5868859324 7134986.59623316),Georgetown,Belhaven
216,POINT (2381141.7920682286 7134299.031247409),Fordham,Tulane
217,POINT (2381141.7920682286 7134299.031247409),Fordham,Tulane
218,POINT (2381154.0319664693 7135012.350702016),Fordham,Belhaven
219,POINT (2381154.0319664693 7135012.350702016),Fordham,Belhaven
220,POINT (2381741.026899823 7134306.735536302),Malone,Tulane
221,POINT (2381607.9553522794 7134192.227631109),Malone,Tulane
222,POINT (2382946.878241937 7134224.031131867),Hinkle,Tulane
223,POINT (2382948.1576507636 7134598.821863518),Hinkle,Greenbriar
224,POINT (2368873.594983777 7134074.625691629),Lariat,Lariat
225,POINT (2368873.594983777 7134074.625691629),Lariat,Lariat
226,POINT (2368832.6414511558 7136133.543740796),Lariat,Hampton
227,POINT (2368832.6414511558 7136133.543740796),Lariat,Hampton
228,POINT (2369840.124098208 7134053.941408245),Cindy,Lariat
229,POINT (2369840.124098208 7134053.941408245),Cindy,Lariat
230,POINT (2369843.409216335 7135014.564003705),Cindy,Tieszen
231,POINT (2370766.6359351105 7134054.616372854),Marshall,Lariat
232,POINT (2370785.179615649 7135015.430519044),Marshall,Tieszen
233,POINT (2381607.9553522794 7134192.227631109),Malone,Tulane
234,POINT (2373570.8110447195 7134770.272337684),I-35,Thunderbird
235,POINT (2382166.228647536 7134294.016168679),Cornell,Tulane
236,POINT (2382166.228647536 7134294.016168679),Cornell,Tulane
237,POINT (2387236.9005293497 7133999.503476036),Sherman,Sherman
238,POINT (2385610.7680446645 7133949.235738915),Denison,Sherman
239,POINT (2385610.7680446645 7133949.235738915),Denison,Sherman
240,POINT (2385629.0847037854 7134422.4900606405),Denison,Ross
241,POINT (2385629.0847037854 7134422.4900606405),Denison,Ross
242,POINT (2382946.878241937 7134224.031131867),Hinkle,Tulane
243,POINT (2385972.055959217 7133913.9051857935),Bolivar,Sherman
244,POINT (2385972.055959217 7133913.9051857935),Bolivar,Sherman
245,POINT (2385980.911671588 7134408.8683280805),Bolivar,Ross
246,POINT (2388244.0519499346 7133914.407733853),Bell,Woodland
247,POINT (2388244.7942407825 7134325.578295618),Bell,Roberts
248,POINT (2388244.0519499346 7133914.407733853),Bell,Woodland
249,POINT (2385240.1673153825 7133995.365271786),Carroll,Sherman
250,POINT (2380502.319768678 7133614.046048665),Lake,Amherst
251,POINT (2380502.319768678 7133614.046048665),Lake,Amherst
252,POINT (2380519.8040880836 7135349.873643757),Lake,Auburn
253,POINT (2380519.8040880836 7135349.873643757),Lake,Auburn
254,POINT (2373614.1111461045 7133519.150088112),I-35,Bandera
255,POINT (2380817.977743171 7133559.879382236),Georgetown,Amherst
256,POINT (2380817.977743171 7133559.879382236),Georgetown,Amherst
257,POINT (2380835.9198424127 7134306.018740404),Georgetown,Tulane
258,POINT (2381132.982500844 7133556.647536389),Fordham,Amherst
